24,"['IPSL-CM6A-LR-INCA', 40610.34576128905]","['IPSL-CM6A-LR-INCA', -11783.07648704615]","['IPSL-CM6A-LR-INCA', 12786.238221140462]","['IPSL-CM6A-LR-INCA', -59232.9083179453]","['IPSL-CM6A-LR-INCA', 68445.28898494785]","['IPSL-CM6A-LR-INCA', -58469.03411392783]","['IPSL-CM6A-LR-INCA', -2195.5384281795564]","['IPSL-CM6A-LR-INCA', -72323.26101505241]","['IPSL-CM6A-LR-INCA', 10376.584897319795]","['IPSL-CM6A-LR-INCA', -76582.7126881539]"
25,"['MIROC6', -6405.346113815778]","['MIROC6', -12446.261110178692]","['MIROC6', -9218.974500587501]","['MIROC6', -2786.044944323248]","['MIROC6', -92818.94397907218]","['MIROC6', -16501.51149907652]","['MIROC6', 22765.852764255073]","['MIROC6', -91445.97473000972]","['MIROC6', -8381.252624363577]","['MIROC6', -67228.20128420314]"
26,"['MPI-ESM-1-2-HAM', 68622.39258015774]","['MPI-ESM-1-2-HAM', -43505.307011359226]","['MPI-ESM-1-2-HAM', 12789.734701471696]","['MPI-ESM-1-2-HAM', 23454.424371887377]","['MPI-ESM-1-2-HAM', -38211.72647025897]","['MPI-ESM-1-2-HAM', 60006.29677830011]","['MPI-ESM-1-2-HAM', -31240.84691119716]","['MPI-ESM-1-2-HAM', -8449.548051311851]","['MPI-ESM-1-2-HAM', -7153.597553298724]","['MPI-ESM-1-2-HAM', -81818.89432040724]"
27,"['MPI-ESM1-2-HR', 28610.685023221897]","['MPI-ESM1-2-HR', 47590.168644731675]","['MPI-ESM1-2-HR', -63066.88559397914]","['MPI-ESM1-2-HR', 51668.18880588667]","['MPI-ESM1-2-HR', -6730.046981142881]","['MPI-ESM1-2-HR', 56701.7112724526]","['MPI-ESM1-2-HR', 45261.23645571039]","['MPI-ESM1-2-HR', -7408.773608080302]","['MPI-ESM1-2-HR', -7725.694768060055]","['MPI-ESM1-2-HR', 9386.03026131718]"
28,"['MPI-ESM1-2-LR', 55438.819279838826]","['MPI-ESM1-2-LR', -4840.4444043423455]","['MPI-ESM1-2-LR', 16242.26120530494]","['MPI-ESM1-2-LR', -21200.03820155555]","['MPI-ESM1-2-LR', 66945.30492417896]","['MPI-ESM1-2-LR', 294.1672206369343]","['MPI-ESM1-2-LR', -38065.55156398636]","['MPI-ESM1-2-LR', -87140.39268087973]","['MPI-ESM1-2-LR', 15821.586108779622]","['MPI-ESM1-2-LR', -1218.4935342174592]"
29,"['MRI-ESM2-0', 30703.086612388775]","['MRI-ESM2-0', -55630.09787924589]","['MRI-ESM2-0', -17582.891100106597]","['MRI-ESM2-0', -75601.08400481212]","['MRI-ESM2-0', 14458.881497957544]","['MRI-ESM2-0', -33904.76617145091]","['MRI-ESM2-0', -3012.7723742373837]","['MRI-ESM2-0', -99179.71631973615]","['MRI-ESM2-0', 101566.68274578928]","['MRI-ESM2-0', -89815.58918918937]"
30,"['NorESM2-LM', 55807.99088187572]","['NorESM2-LM', -8013.8094846399]","['NorESM2-LM', -84180.29968944089]","['NorESM2-LM', 34032.1515695817]","['NorESM2-LM', 6208.106611269701]","['NorESM2-LM', -11753.232007162258]","['NorESM2-LM', 45327.59889485779]","['NorESM2-LM', -95892.32088299455]","['NorESM2-LM', -31904.96097588277]","['NorESM2-LM', 65750.77122992562]"
31,"['NorESM2-MM', 3617.0943399922357]","['NorESM2-MM', 46247.90094846423]","['NorESM2-MM', -59239.92691231598]","['NorESM2-MM', 32875.50576352752]","['NorESM2-MM', 64654.14961949553]","['NorESM2-MM', -79850.67638912206]","['NorESM2-MM', 23240.19661742506]","['NorESM2-MM', -49613.78026131724]","['NorESM2-MM', -33073.40072183962]","['NorESM2-MM', -38961.15020144329]"
32,"['TaiESM1', 3528.1464803311774]","['TaiESM1', 51559.82788036511]","['TaiESM1', 8446.333358513562]","['TaiESM1', -8721.194107772297]","['TaiESM1', -1162.6712159363801]","['TaiESM1', -34804.232261764795]","['TaiESM1', 13246.003625986357]","['TaiESM1', -58310.95495495496]","['TaiESM1', 60802.20019584804]","['TaiESM1', -63083.54965586697]"
33,"['UKESM1-0-LL', 16024.357577577597]","['UKESM1-0-LL', -3672.354729014587]","['UKESM1-0-LL', -21223.749312169355]","['UKESM1-0-LL', 10640.329958530003]","['UKESM1-0-LL', 57292.054983555376]","['UKESM1-0-LL', -26776.765413985435]","['UKESM1-0-LL', -70656.40603460619]","['UKESM1-0-LL', 62753.08839410853]","['UKESM1-0-LL', -35198.381856142056]","['UKESM1-0-LL', -9502.931820391588]"
